ts,inst,timelimit,requested_arm,assign_arm_reported,rep,hard_timeout_s,killed,wall_s,margin_vs_090t_s,margin_vs_305s_hard_kill_s,feasible,objective,obj1,obj2,obj3,full_ran,lbbd_ran,pass_names,seed_pack_s,seed_audit_s,full_master_status,repair_moves,arm_degraded,arm_experienced_overload,notes
2026-07-27T12:39:10,prob_5.json,60,baseline,baseline,calib1,130,False,49.500,4.50,,True,74937.0,0.0,1491,430.0,True,False,"seed;seed+repair;full;lbbd_0..26",0.13,0.03,OPTIMAL,17,,,calibration control (pre-panel)
2026-07-27T12:44:33,prob_38.json,300,baseline,baseline,rep1,310,False,272.074,-2.07,32.93,True,64105869.0,4765.0,3712,1889.0,True,False,"seed;seed+repair;full",4.97,0.12,OPTIMAL,29,,,MARGIN BREACH vs 0.90*t (270s); full-master completed OPTIMAL this rep
2026-07-27T12:49:25,prob_38.json,300,congestion,congestion,rep1,310,False,271.848,-1.85,33.15,True,70198763.0,5121.0,1135,6394.0,False,False,"seed;seed+repair;full",4.51,0.11,,,0,435486,MARGIN BREACH vs 0.90*t; full pass NOT completed this rep (arm assignment used for seed+repair only; see caveat below); deterministic across reps
2026-07-27T12:54:17,prob_38.json,300,baseline,baseline,rep2,310,False,271.832,-1.83,33.17,True,67841743.0,5043.0,4262,1983.0,False,False,"seed;seed+repair;full",5.00,0.12,,,,,MARGIN BREACH vs 0.90*t; full pass NOT completed this rep (budget-edge nondeterminism -- CP-SAT master timing)
2026-07-27T12:59:03,prob_38.json,300,congestion,congestion,rep2,310,False,271.849,-1.85,33.15,True,70198763.0,5121.0,1135,6394.0,False,False,"seed;seed+repair;full",4.63,0.10,,,0,435486,MARGIN BREACH vs 0.90*t; full pass NOT completed this rep; deterministic across reps
2026-07-27T13:03:48,prob_38.json,300,baseline,baseline,rep3,310,False,272.325,-2.32,32.68,True,65906720.0,4906.0,3911,1624.0,True,False,"seed;seed+repair;full",4.95,0.11,OPTIMAL,22,,,MARGIN BREACH vs 0.90*t; full-master completed OPTIMAL this rep
2026-07-27T13:08:34,prob_38.json,300,congestion,congestion,rep3,310,False,271.852,-1.85,33.15,True,70198763.0,5121.0,1135,6394.0,False,False,"seed;seed+repair;full",4.59,0.10,,,0,435486,MARGIN BREACH vs 0.90*t; full pass NOT completed this rep; deterministic across reps
2026-07-27T13:09:37,prob_5.json,60,baseline,baseline,calib2,130,False,48.628,5.37,,True,74937.0,0.0,1491,430.0,True,False,"seed;seed+repair;full;lbbd_0..26",0.14,0.04,OPTIMAL,17,,,calibration control (post-panel, drift check)
