role,timestamp,instance,arm_requested,arm_reported,rep,timelimit,feasible,objective,obj1,obj2,obj3,wall_solve_s,wall_script_s,stop_reason,assignment_lb,lbbd_iters,full_present,full_aborted,full_skipped,seed_feasible,master_status_full,arm_info,error,raw_info_file
screening_n1,2026-07-27T13:26:40,prob_6,congestion,congestion,0,60.0,True,78191.0,0.0,2363,411.0,48.912,50.43,NO_STOP_ENTRY,,19,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 48, ""1"": 49, ""2"": 53}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_6_congestion_rep0.json
screening_n1,2026-07-27T13:27:40,prob_7,baseline,baseline,0,60.0,True,87843.0,0.0,1899,497.0,48.268,49.46,NO_STOP_ENTRY,,15,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_7_baseline_rep0.json
screening_n1,2026-07-27T13:28:41,prob_7,congestion,congestion,0,60.0,True,88395.0,0.0,2085,492.0,48.549,50.42,NO_STOP_ENTRY,,15,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 49, ""1"": 49, ""2"": 52}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_7_congestion_rep0.json
screening_n1,2026-07-27T13:29:52,prob_8,baseline,baseline,0,60.0,True,11252.0,0.0,2413,8.0,2.257,3.86,assignment_lb_reached,11252.0,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_8_baseline_rep0.json
screening_n1,2026-07-27T13:30:06,prob_8,congestion,congestion,0,60.0,True,11252.0,0.0,2413,8.0,2.381,3.56,master_bound_closed,11252.0,1,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 76, ""1"": 74}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_8_congestion_rep0.json
screening_n1,2026-07-27T13:30:19,prob_9,baseline,baseline,0,60.0,True,73685.0,0.0,1717,434.0,46.014,47.37,NO_STOP_ENTRY,,40,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_9_baseline_rep0.json
screening_n1,2026-07-27T13:31:14,prob_9,congestion,congestion,0,60.0,True,73685.0,0.0,1717,434.0,47.235,48.53,NO_STOP_ENTRY,,40,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 56, ""1"": 77, ""2"": 67}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_9_congestion_rep0.json
screening_n1,2026-07-27T13:32:12,prob_10,baseline,baseline,0,60.0,True,78785.0,0.0,1660,505.0,48.425,49.76,NO_STOP_ENTRY,,34,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_10_baseline_rep0.json
screening_n1,2026-07-27T13:33:11,prob_10,congestion,congestion,0,60.0,True,78785.0,0.0,1660,505.0,48.535,49.85,NO_STOP_ENTRY,,33,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 57, ""1"": 34, ""2"": 57, ""3"": 52}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_10_congestion_rep0.json
screening_n1,2026-07-27T13:34:19,prob_11,baseline,baseline,0,60.0,True,121687.0,3.0,292,384.0,48.7,49.88,NO_STOP_ENTRY,,12,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_11_baseline_rep0.json
